Conto : Lorem Ipsum Blah Blah;;;;;;;;;;;
Data estrazione : 27-7-2026 13:47:50;;;;;;;;;;;
;;;;;;;;;;;
Tutti i movimenti ordinati per Data Operazione;;;;;;;;;;;
Dal : 01-07-2022;;;;;;;;;;;
al : 27-07-2026;;;;;;;;;;;
;;;;;;;;;;;
Il file include i primi 3000 movimenti;;;;;;;;;;;
;;;;;;;;;;;
Data operazione;Data valuta;Tipo operazione;Ticker;Isin;Protocollo;Descrizione;Quantità;Importo euro;Importo Divisa;Divisa;Riferimento ordine
23-07-2026;27-07-2026;Acquisto;EXUS;IE0006WW1TQ4;;Xtrackers MSCI World ex USA UC;5;-196,75;0;EUR;
18-07-2026;18-07-2026;Conferimento con bonifico;;;19229535;;0;153;0;EUR;
10-07-2026;30-06-2026;Bollo portafoglio titoli*;;;65999121;;0;-12;0;EUR;
10-06-2026;10-06-2026;Conferimento con bonifico;;;19060244;;0;1;0;EUR;
10-04-2026;31-03-2026;Bollo portafoglio titoli*;;;64217123;;0;-10,7;0;EUR;
12-01-2026;31-12-2025;Bollo portafoglio titoli*;;;62468560;;0;-11;0;EUR;
15-12-2025;17-12-2025;Acquisto;EXUS;IE0006WW1TQ4;;Xtrackers MSCI World ex USA UC;20;-694,6;0;EUR;
15-12-2025;17-12-2025;Acquisto;XD9U;IE00BJ0KDR00;;XTRACKERS MSCI USA UCITS ETF;16;-2732,96;0;EUR;
12-12-2025;16-12-2025;Acquisto;EIMI;IE00BKM4GZ66;;ISHARES CORE MSCI EM IMI UCITS;14;-524,58;0;EUR;
12-12-2025;16-12-2025;Vendita;EM35;LU1650488494;;Amundi Eur Gvrnmnt Bnd 3-5Y UC;25;3795,75;0;EUR;
12-12-2025;16-12-2025;Rit. etf;EM35;LU1650488494;;Amundi Eur Gvrnmnt Bnd 3-5Y UC;0;-0,22;0;EUR;
08-12-2025;10-12-2025;Acquisto;EIMI;IE00BKM4GZ66;;ISHARES CORE MSCI EM IMI UCITS;2;-76,05;0;EUR;
08-12-2025;10-12-2025;Acquisto;EXUS;IE0006WW1TQ4;;Xtrackers MSCI World ex USA UC;69;-2382,92;0;EUR;
08-12-2025;10-12-2025;Acquisto;EM35;LU1650488494;;Amundi Eur Gvrnmnt Bnd 3-5Y UC;25;-3794;0;EUR;
08-12-2025;10-12-2025;Acquisto;XD9U;IE00BJ0KDR00;;XTRACKERS MSCI USA UCITS ETF;33;-5721,87;0;EUR;
08-12-2025;10-12-2025;Vendita;VWCE;IE00BK5BQT80;;Vanguard Ftse All-World Ucits;54;7821,36;0;EUR;
08-12-2025;10-12-2025;Commissioni;VWCE;IE00BK5BQT80;;Vanguard Ftse All-World Ucits;0;-5;0;EUR;
08-12-2025;10-12-2025;Rit. etf;VWCE;IE00BK5BQT80;;Vanguard Ftse All-World Ucits;0;-185,49;0;EUR;
08-12-2025;10-12-2025;Vendita;MWRD;IE000BI8OT95;;Amundi Core MSCI World UCITS E;9;1259,28;0;EUR;
08-12-2025;10-12-2025;Commissioni;MWRD;IE000BI8OT95;;Amundi Core MSCI World UCITS E;0;-5;0;EUR;
08-12-2025;10-12-2025;Rit. etf;MWRD;IE000BI8OT95;;Amundi Core MSCI World UCITS E;0;-18,32;0;EUR;
08-12-2025;10-12-2025;Vendita;XDEW;IE00BLNMYC90;;XTRACKERS S&P 500 EQUAL WEIGHT;32;2906,24;0;EUR;
08-12-2025;10-12-2025;Commissioni;XDEW;IE00BLNMYC90;;XTRACKERS S&P 500 EQUAL WEIGHT;0;-5;0;EUR;
08-12-2025;10-12-2025;Rit. etf;XDEW;IE00BLNMYC90;;XTRACKERS S&P 500 EQUAL WEIGHT;0;-36,52;0;EUR;
02-12-2025;04-12-2025;Vendita;XGLE;LU0290355717;;XTRACKERS II EUROZ GOVT UCITS;2;445,26;0;EUR;
02-12-2025;04-12-2025;Commissioni;XGLE;LU0290355717;;XTRACKERS II EUROZ GOVT UCITS;0;-5;0;EUR;
01-12-2025;03-12-2025;Acquisto;XGLE;LU0290355717;;XTRACKERS II EUROZ GOVT UCITS;2;-445,58;0;EUR;
10-10-2025;30-09-2025;Bollo portafoglio titoli*;;;60718276;;0;-10,5;0;EUR;
16-09-2025;17-09-2025;Prelievo bonifico;;;18039144;;0;-1500;0;EUR;
15-09-2025;17-09-2025;Vendita;EGOV;LU1437018598;;Amundi Core Euro Government Bo;9;443,75;0;EUR;
15-09-2025;17-09-2025;Commissioni;EGOV;LU1437018598;;Amundi Core Euro Government Bo;0;-5;0;EUR;
15-09-2025;17-09-2025;Rit. etf;EGOV;LU1437018598;;Amundi Core Euro Government Bo;0;-0,22;0;EUR;
15-09-2025;17-09-2025;Vendita;EGOV;LU1437018598;;Amundi Core Euro Government Bo;2;98,61;0;EUR;
15-09-2025;17-09-2025;Vendita;EGOV;LU1437018598;;Amundi Core Euro Government Bo;29;1429,85;0;EUR;
08-09-2025;10-09-2025;Acquisto;MWRD;IE000BI8OT95;;Amundi Core MSCI World UCITS E;9;-1188,81;0;EUR;
08-09-2025;10-09-2025;Vendita;XBLC;LU0478205379;;XTRACKERS II EUR CORPORAT BOND;8;1296;0;EUR;
08-09-2025;10-09-2025;Commissioni;XBLC;LU0478205379;;XTRACKERS II EUR CORPORAT BOND;0;-5;0;EUR;
08-09-2025;10-09-2025;Rit. etf;XBLC;LU0478205379;;XTRACKERS II EUR CORPORAT BOND;0;-2;0;EUR;
15-07-2025;17-07-2025;Acquisto;EXUS;IE0006WW1TQ4;;Xtrackers MSCI World ex USA UC;4;-127,06;0;EUR;
09-07-2025;30-06-2025;Bollo portafoglio titoli*;;;35952857;;0;-9,6;0;EUR;
01-07-2025;03-07-2025;Acquisto;XBLC;LU0478205379;;XTRACKERS II EUR CORPORAT BOND;8;-1288,32;0;EUR;
01-07-2025;03-07-2025;Acquisto;VWCE;IE00BK5BQT80;;Vanguard Ftse All-World Ucits;10;-1296,1;0;EUR;
26-06-2025;30-06-2025;Vendita;GAGG;LU1437024729;;Amundi Core Global Aggregate B;54;2587,68;0;EUR;
26-06-2025;30-06-2025;Commissioni;GAGG;LU1437024729;;Amundi Core Global Aggregate B;0;-5;0;EUR;
16-06-2025;18-06-2025;Acquisto;EXUS;IE0006WW1TQ4;;Xtrackers MSCI World ex USA UC;4;-127,84;0;EUR;
16-06-2025;18-06-2025;Acquisto;EIMI;IE00BKM4GZ66;;ISHARES CORE MSCI EM IMI UCITS;3;-100,16;0;EUR;
16-06-2025;18-06-2025;Acquisto;XDEW;IE00BLNMYC90;;XTRACKERS S&P 500 EQUAL WEIGHT;5;-422,5;0;EUR;
16-06-2025;18-06-2025;Acquisto;GAGG;LU1437024729;;Amundi Core Global Aggregate B;3;-144,09;0;EUR;
16-06-2025;18-06-2025;Acquisto;EGOV;LU1437018598;;Amundi Core Euro Government Bo;4;-198,28;0;EUR;
16-06-2025;18-06-2025;Acquisto;VWCE;IE00BK5BQT80;;Vanguard Ftse All-World Ucits;1;-129,2;0;EUR;
11-06-2025;11-06-2025;Conferimento con bonifico;;;17753130;;0;1181;0;EUR;
27-05-2025;28-05-2025;Prelievo bonifico;;;17706013;;0;-1950;0;EUR;
23-05-2025;27-05-2025;Acquisto;GAGG;LU1437024729;;Amundi Core Global Aggregate B;5;-242,43;0;EUR;
23-05-2025;27-05-2025;Acquisto;EIMI;IE00BKM4GZ66;;ISHARES CORE MSCI EM IMI UCITS;1;-32,77;0;EUR;
23-05-2025;27-05-2025;Acquisto;VWCE;IE00BK5BQT80;;Vanguard Ftse All-World Ucits;3;-381,3;0;EUR;
23-05-2025;27-05-2025;Acquisto;EXUS;IE0006WW1TQ4;;Xtrackers MSCI World ex USA UC;2;-63,47;0;EUR;
23-05-2025;27-05-2025;Acquisto;EGOV;LU1437018598;;Amundi Core Euro Government Bo;4;-197,1;0;EUR;
15-05-2025;19-05-2025;Acquisto;VWCE;IE00BK5BQT80;;Vanguard Ftse All-World Ucits;2;-259,72;0;EUR;
15-05-2025;19-05-2025;Acquisto;EGOV;LU1437018598;;Amundi Core Euro Government Bo;4;-196,64;0;EUR;
15-05-2025;19-05-2025;Acquisto;EXUS;IE0006WW1TQ4;;Xtrackers MSCI World ex USA UC;6;-190,89;0;EUR;
15-05-2025;19-05-2025;Acquisto;EIMI;IE00BKM4GZ66;;ISHARES CORE MSCI EM IMI UCITS;1;-33,28;0;EUR;
15-05-2025;19-05-2025;Acquisto;GAGG;LU1437024729;;Amundi Core Global Aggregate B;5;-244,23;0;EUR;
13-05-2025;13-05-2025;Conferimento con bonifico;;;17668847;;0;200;0;EUR;
08-05-2025;12-05-2025;Acquisto;VWCE;IE00BK5BQT80;;Vanguard Ftse All-World Ucits;1;-124,97;0;EUR;
08-05-2025;12-05-2025;Acquisto;EXUS;IE0006WW1TQ4;;Xtrackers MSCI World ex USA UC;3;-93,38;0;EUR;
08-05-2025;12-05-2025;Acquisto;GAGG;LU1437024729;;Amundi Core Global Aggregate B;5;-243,8;0;EUR;
08-05-2025;12-05-2025;Acquisto;EIMI;IE00BKM4GZ66;;ISHARES CORE MSCI EM IMI UCITS;1;-31,98;0;EUR;
08-05-2025;12-05-2025;Acquisto;EGOV;LU1437018598;;Amundi Core Euro Government Bo;4;-197,58;0;EUR;
02-05-2025;06-05-2025;Acquisto;VWCE;IE00BK5BQT80;;Vanguard Ftse All-World Ucits;3;-372,27;0;EUR;
