Timestamp	LogLevel	TotalValue	TotalCost	TotalChange	TotalChangePct	TotalDayChange	TotalDayChangePct	TWRRPct	MWRRPct	ExpensesTotal	ExpensesOfGainPct	Commissions	StampDuty	CapitalGainTaxes	BuyTrades	SellTrades	OpenPositions	ClosedPositions	FirstInvestDate	LatestTradeDate	DaysInvested	Deposited	Withdrawn	RealizedGain
2026-08-25 12:24:01	INFO	24632.47	21273.91	3358.55	15.79	96.99	0.40	13.99	10.87	453.30	8.52	40.81	79.10	333.39	67	17	6	9	03/08/2024	23/07/2026	2y 0m 22d	51766.00	32455.00	1270.73
2026-08-25 16:45:08	INFO	24589.82	21273.91	3315.90	15.59	54.34	0.22	13.90	10.78	453.30	8.59	40.81	79.10	333.39	67	17	6	9	03/08/2024	23/07/2026	2y 0m 22d	51766.00	32455.00	1270.73
2026-08-25 16:45:40	INFO	24563.13	21273.91	3289.21	15.46	27.65	0.11	13.84	10.72	453.30	8.63	40.81	79.10	333.39	67	17	6	9	03/08/2024	23/07/2026	2y 0m 22d	51766.00	32455.00	1270.73
2026-08-25 16:45:55	INFO	24563.11	21273.91	3289.20	15.46	27.63	0.11	13.84	10.72	453.30	8.63	40.81	79.10	333.39	67	17	6	9	03/08/2024	23/07/2026	2y 0m 22d	51766.00	32455.00	1270.73
2026-08-25 16:46:13	INFO	24572.55	21273.91	3298.63	15.51	37.07	0.15	13.86	10.74	453.30	8.62	40.81	79.10	333.39	67	17	6	9	03/08/2024	23/07/2026	2y 0m 22d	51766.00	32455.00	1270.73
2026-08-25 16:46:21	INFO	24572.77	21273.91	3298.86	15.51	37.29	0.15	13.86	10.74	453.30	8.61	40.81	79.10	333.39	67	17	6	9	03/08/2024	23/07/2026	2y 0m 22d	51766.00	32455.00	1270.73
2026-08-25 16:46:36	INFO	24572.77	21273.91	3298.86	15.51	37.29	0.15	13.86	10.74	453.30	8.61	40.81	79.10	333.39	67	17	6	9	03/08/2024	23/07/2026	2y 0m 22d	51766.00	32455.00	1270.73
2026-08-26 09:16:46	INFO	24601.94	21273.91	3328.03	15.64	67.00	0.27	13.91	10.79	453.30	8.57	40.81	79.10	333.39	67	17	6	9	03/08/2024	23/07/2026	2y 0m 23d	51766.00	32455.00	1270.73
2026-08-26 09:17:00	INFO	24601.93	21273.91	3328.02	15.64	66.99	0.27	13.91	10.79	453.30	8.57	40.81	79.10	333.39	67	17	6	9	03/08/2024	23/07/2026	2y 0m 23d	51766.00	32455.00	1270.73
2026-08-26 09:17:14	INFO	24601.94	21273.91	3328.02	15.64	67.00	0.27	13.91	10.79	453.30	8.57	40.81	79.10	333.39	67	17	6	9	03/08/2024	23/07/2026	2y 0m 23d	51766.00	32455.00	1270.73
